t	x	y	r
1,164169E1	8,876534E-3	-2,692853E-3	9,276007E-3
1,165834E1	9,061028E-3	-3,615323E-3	9,755654E-3
1,169166E1	9,245522E-3	-3,984312E-3	1,006749E-2
1,170831E1	9,245522E-3	-3,430829E-3	9,861555E-3
1,172497E1	9,245522E-3	-3,430829E-3	9,861555E-3
1,174162E1	9,061028E-3	-3,430829E-3	9,688799E-3
1,175828E1	9,061028E-3	-4,168806E-3	9,974025E-3
1,177493E1	9,799005E-3	-4,168806E-3	1,064892E-2
1,179159E1	8,692040E-3	-3,984312E-3	9,561710E-3
1,180824E1	8,431172E-3	-3,999143E-3	9,331548E-3
1,184156E1	8,851577E-3	-4,509951E-3	9,934288E-3
1,187487E1	9,061028E-3	-4,353300E-3	1,005253E-2
1,189152E1	9,061028E-3	-4,537794E-3	1,013380E-2
1,190818E1	9,061028E-3	-3,984312E-3	9,898332E-3
